"id","title","authors","venue","year"
"conf/vldb/RusinkiewiczKTWM95","Towards a Cooperative Transaction Model - The Cooperative Activity Model","M Rusinkiewicz, W Klas, T Tesch, J W�sch, P Muth","VLDB",1995
"journals/sigmod/EisenbergM02","SQL/XML is Making Good Progress","A Eisenberg, J Melton","SIGMOD Record",2002
"conf/vldb/AmmannJR95","Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions","P Ammann, S Jajodia, I Ray","VLDB",1995
"journals/sigmod/Liu02","Editor's Notes","L Liu","SIGMOD Record",2002
"journals/sigmod/Hammer02","Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001)","N/A","N/A",2002
"conf/vldb/FerrandinaMZFM95","Schema and Database Evolution in the O2 Object Database System","F Ferrandina, T Meyer, R Zicari, G Ferran, J Madec","VLDB",1995
"conf/vldb/SubietaKL95","Procedures in Object-Oriented Query Languages","K Subieta, Y Kambayashi, J Leszczylowski","VLDB",1995
"journals/sigmod/BargaL02","Phoenix Project: Fault-Tolerant Applications","R Barga, D Lomet","SIGMOD Record",2002
"journals/sigmod/Ouksel02","Mining the World Wide Web: An Information Search Approach - Book Review","N/A","N/A",2002
"conf/vldb/MoserKK95","L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS","F Moser, A Kraiss, W Klas","VLDB",1995
"journals/sigmod/Konig-RiesMMPPRSVW02","Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems","N/A","N/A",2002
"conf/vldb/ChaudhuriGS95","Retrieval of Composite Multimedia Objects","S Chaudhuri, S Ghandeharizadeh, C Shahabi","VLDB",1995
"journals/sigmod/Kosch02","MPEG-7 and Multimedia Database Systems","H Kosch","SIGMOD Record",2002
"conf/vldb/LuTD95","The Fittest Survives: An Adaptive Approach to Query Optimization","H Lu, K Tan, S Dao","VLDB",1995
"journals/sigmod/RossFS02","Reminiscences on Influential Papers","N/A","N/A",2002
"conf/vldb/TreschPL95","Type Classification of Semi-Structured Documents","M Tresch, N Palmer, A Luniewski","VLDB",1995
"journals/sigmod/Geller02","Data Mining: Practical Machine Learning Tools and Techniques - Book Review","J Geller","SIGMOD Record",2002
"conf/vldb/MehtaD95","Managing Intra-operator Parallelism in Parallel Database Systems","M Mehta, D DeWitt","VLDB",1995
"journals/sigmod/CaplinskasEV02","Advances in Databases and Information Systems (ADBIS)","A Caplinskas, J Eder, O Vasilecas","SIGMOD Record",2002
"conf/vldb/SrikantA95","Mining Generalized Association Rules","R Srikant, R Agrawal","VLDB",1995
"conf/vldb/HaasNSS95","Sampling-Based Estimation of the Number of Distinct Values of an Attribute","P Haas, J Naughton, S Seshadri, L Stokes","VLDB",1995
"journals/sigmod/Aberer02","Book Review Column","K Aberer","SIGMOD Record",2002
"conf/vldb/FlodinR95","Processing Object-Oriented Queries with Invertible Late Bound Functions","S Flodin, T Risch","VLDB",1995
