"id","title","authors","venue","year"
"aKcZKwvwbQwJ","11578 Sorrento Valley Road","QD Inc","San Diego,",
"ixKfiTHoaDoJ","Initiation of crazes in polystyrene","AS Argon, JG Hannoosh","Phil. Mag,",
"3BxllB4wwcIJ","Immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase N in  ","GH Hansen, LL Wetterberg, H Sj̦str̦m, O Nor̩n","The Histochemical Journal,",1992
"d2WWxwKMex4J","The Burden of Infectious Disease Among Inmates and Releasees From Correctional Facilities","TM Hammett, P Harmon, W Rhodes","see",
"cZCX-AQpjccJ","The Role of Faculty Advising in Science and Engineering","JR Cogdell","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1995
"DMhfVNSDYD4J","The zero multiplicity of linear recurrence sequences","WM Schmidt","to",
"97wRWOpnANkJ","PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES","RA Haats",,2002
"xSv97kdDZU8J","The Photosynthetic Reaction Center","JR Norris, J Deisenhofer","San Diego: Academic,",
"vj0-A5RoktIJ","F., Diene, AW, Ndiaye, Y. Hachage lin̩aire Scalable et Distribu̩ LH* LH sous Windows NT","F Bennour","Res. Rep. CERIA, U. Paris,",
"6TKMB5gO9EoJ","Multidimensional similar    ity structure analysis","I Borg, JC Lingoes",,1987
"im0SIHX8SOcJ","Linear Algebra and its Applications Harcourt Brace Jovanovich","G Strang","San Diego,",
"izK60fJMujQJ","deD., D. Roncagliolo y U. Velarde (1997) Interactions and independence in stated preference  ","J Ort̼zar","Proceedings of the 25 thEuropean Transport",
"UPWEn_-Pd-sJ","Stereochemical Applications of Gas-Phase Electron Diffraction","K Kuchitsu, M Nakata, S Yamamoto, I Hargittai, M  ","Hargittai,",
"lDTPyBMtHVwJ","Obtaining Complete Answers from Incomplete Databases","AY Levy","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996
"173qcCip5coJ","Li., C., AND Vitter. J. 2001. Supporting incremental join queries on ranked inputs","A Natsev, Y Chang, J Smith","Proceedings of the Very Large Data Bases Conference (VLDB; ",
"I3mRuMui5o0J","Classical topology and combinatorial group theory","J Stillwell",,1995
"0GT_dHqK5roJ","A Database Index to Large Biological Sequences","E Hunt, MP Atkinson, RW Irving",,
"6wr9qvjWwy4J","Progress through ICH toward harmonization of genetic toxicology testing practices for  ","GS Probst","Seattle, Washington DC,",
"yNwfL9rufUIJ","Pain and leg ulceration associated with reduced ABPI and atropie blanche","D Hofman","Proceedings of the 2 nd meeting on measurements in wound  &hellip;,",1998
"k9_rZiB4rKoJ","Recognita Plus: OCR with Strength in Hardware","B Simon","PC Magazine (10),",
